gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,phase,motion
0.044727001,-0.001246,0.010747,0.045042754,-0.001760921,0.010411343,0.243973047,2.14E-01
0.044654999,-0.001213,0.010782,0.045035895,-0.001770287,0.010455234,0.279473364,2.17E-01
0.044574,-0.001164,0.01082,0.044829039,-0.001780216,0.010429523,0.279473364,2.21E-01
0.044512,-0.001137,0.010839,0.044729306,-0.001726288,0.010500687,0.313506484,2.26E-01
0.044477001,-0.001119,0.010868,0.044420034,-0.001716977,0.010536195,0.313506484,2.31E-01
0.044397999,-0.001042,0.010931,0.04413198,-0.001595415,0.010610883,0.343208611,2.38E-01
0.044365,-0.001046,0.010934,0.044123975,-0.001563357,0.010624036,0.343208611,2.45E-01
0.044305,-0.001007,0.010965,0.043935974,-0.001543096,0.010608128,0.368946671,2.54E-01
0.044250999,-0.001012,0.010977,0.043870977,-0.001346909,0.010736513,0.368946671,2.64E-01
0.044148002,-0.000942,0.011038,0.043834067,-0.001232179,0.010840191,0.391258568,2.75E-01
0.044073001,-0.000949,0.011061,0.043631463,-0.001100649,0.010942813,0.391258568,2.88E-01
0.04397,-0.000886,0.011125,0.04385823,-0.001163455,0.010876161,0.4104909,3.03E-01
0.043878,-0.000843,0.011165,0.043566259,-0.001094965,0.010922937,0.4104909,3.20E-01
0.043786999,-0.000796,0.011188,0.04377855,-0.001072002,0.010979634,0.426994354,3.38E-01
0.043731,-0.000787,0.011179,0.043739955,-0.001056782,0.010992274,0.426994354,3.58E-01
0.043643001,-0.000712,0.011253,0.043502208,-0.000959134,0.011023516,0.461417168,3.79E-01
0.043591,-0.000709,0.011258,0.04314974,-0.00101316,0.011073173,0.461417168,4.02E-01
0.043488,-0.000673,0.01131,0.043233768,-0.000955694,0.011092262,0.515605748,4.26E-01
0.043435998,-0.000711,0.011301,0.043155863,-0.000984053,0.011055564,0.515605748,4.50E-01
0.043364,-0.000696,0.011341,0.043260115,-0.000976243,0.011154118,0.581892669,4.75E-01
0.043301001,-0.000676,0.01137,0.043023497,-0.000860025,0.011195932,0.581892669,5.00E-01
0.043257002,-0.000648,0.011388,0.043111371,-0.000723567,0.011191912,0.649116337,5.25E-01
0.043196999,-0.000584,0.01145,0.043181752,-0.000813036,0.011264064,0.649116337,5.50E-01
0.043171,-0.000611,0.011436,0.043132239,-0.000749599,0.011266006,0.713131607,5.74E-01
0.043081,-0.00054,0.011505,0.042947126,-0.000699132,0.011313896,0.713131607,5.96E-01
0.043056998,-0.000603,0.011474,0.042681737,-0.000696255,0.011345903,0.76635164,6.18E-01
0.042996,-0.000562,0.011527,0.042564901,-0.000667203,0.011402809,0.76635164,6.38E-01
0.042978,-0.000541,0.011538,0.042525963,-0.000705341,0.011445568,0.806951463,6.57E-01
0.042987999,-0.00056,0.011533,0.042433101,-0.000721016,0.011429257,0.806951463,6.74E-01
0.043009002,-0.000604,0.01151,0.042403555,-0.000738154,0.011477375,0.831706941,6.90E-01
0.042991001,-0.000578,0.011518,0.042377004,-0.000542202,0.011527877,0.831706941,7.04E-01
0.042991001,-0.000571,0.011522,0.042372243,-0.000541207,0.011513438,0.84595257,7.16E-01
0.042991001,-0.000558,0.011534,0.042451145,-0.000544366,0.011638375,0.84595257,7.27E-01
0.043000001,-0.000574,0.011524,0.042354109,-0.000568014,0.011620809,0.850940764,7.36E-01
0.042994,-0.00057,0.011536,0.041874341,-0.000588667,0.011693696,0.850940764,7.44E-01
