frame,t,filtered_signal_norm_offline,displacement_norm_offline
2.610000000000000000e+02,8.683333333333333570e+00,4.945577615711324593e-01,9.629515145412634314e-02
2.620000000000000000e+02,8.716666666666666785e+00,5.006090598785588597e-01,9.599419981915141564e-02
2.630000000000000000e+02,8.750000000000000000e+00,5.051273538358806992e-01,9.597896807318091750e-02
2.640000000000000000e+02,8.783333333333333215e+00,5.082530786425514258e-01,9.616139538907224338e-02
2.650000000000000000e+02,8.816666666666666430e+00,5.101281094215032175e-01,9.646239258799946259e-02
2.660000000000000000e+02,8.849999999999999645e+00,5.108856999528711418e-01,9.681129695821251435e-02
2.670000000000000000e+02,8.883333333333332860e+00,5.106620356528338567e-01,9.714605764065668836e-02
2.680000000000000000e+02,8.916666666666666075e+00,5.096046843754179489e-01,9.741395541146299908e-02
2.690000000000000000e+02,8.949999999999999289e+00,5.078712141473471497e-01,9.757223505519860285e-02
2.700000000000000000e+02,8.983333333333332504e+00,5.056236283780214391e-01,9.758838584175816289e-02
2.710000000000000000e+02,9.016666666666667496e+00,5.030248499089764458e-01,9.744019966778907915e-02
2.720000000000000000e+02,9.050000000000000711e+00,5.002413758064955251e-01,9.711599707719888175e-02
2.730000000000000000e+02,9.083333333333333925e+00,4.974506615720035163e-01,9.661532023131379210e-02
2.740000000000000000e+02,9.116666666666667140e+00,4.948480563236997143e-01,9.595006443379563987e-02
2.750000000000000000e+02,9.150000000000000355e+00,4.926494465019385371e-01,9.514577683352806736e-02
2.760000000000000000e+02,9.183333333333333570e+00,4.910903730619310958e-01,9.424289930209708843e-02
2.770000000000000000e+02,9.216666666666666785e+00,4.904240709016978172e-01,9.329788733207854123e-02
2.780000000000000000e+02,9.250000000000000000e+00,4.909118177669180572e-01,9.238371863642615145e-02
2.790000000000000000e+02,9.283333333333333215e+00,4.927925649674531616e-01,9.158848130877650373e-02
2.800000000000000000e+02,9.316666666666666430e+00,4.962308830567133122e-01,9.101067026460998854e-02
2.810000000000000000e+02,9.349999999999999645e+00,5.012590195353994194e-01,9.075081962987191497e-02
2.820000000000000000e+02,9.383333333333332860e+00,5.077454171298216856e-01,9.090114434410893895e-02
2.830000000000000000e+02,9.416666666666666075e+00,5.154240389289463931e-01,9.153703617480077326e-02
2.840000000000000000e+02,9.449999999999999289e+00,5.239633549969517912e-01,9.271292218519153194e-02
2.850000000000000000e+02,9.483333333333332504e+00,5.330138340379680928e-01,9.446112639609356709e-02
2.860000000000000000e+02,9.516666666666667496e+00,5.422255708136487495e-01,9.679184613917304891e-02
2.870000000000000000e+02,9.550000000000000711e+00,5.512621150002895432e-01,9.969400289506709367e-02
2.880000000000000000e+02,9.583333333333333925e+00,5.598131073804467617e-01,1.031368921966546587e-01
