gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,state_00,state_0
0.048126001,-0.001903,0.010127,0.048696165,-0.001922788,0.010154271,0.798662007,1.65E-01
0.048103999,-0.001907,0.010132,0.04865684,-0.001911771,0.010209797,0.835544646,1.75E-01
0.048062999,-0.001862,0.010177,0.048579281,-0.001856781,0.010262993,0.835544646,1.87E-01
0.048076998,-0.001893,0.010154,0.048501239,-0.001843236,0.010290988,0.863623142,2.02E-01
0.048080999,-0.001907,0.010148,0.048407612,-0.001783403,0.0103472,0.863623142,2.20E-01
0.048032001,-0.001857,0.010194,0.048284139,-0.001772977,0.010342076,0.885180235,2.42E-01
0.048057999,-0.001922,0.010137,0.048283756,-0.001695096,0.010400815,0.885180235,2.66E-01
0.048044,-0.001907,0.010164,0.048227177,-0.00167251,0.010419601,0.901870608,2.93E-01
0.048021,-0.001897,0.010163,0.048182098,-0.001644569,0.010430415,0.901870608,3.24E-01
0.047984999,-0.001867,0.010196,0.048156763,-0.001662211,0.010438016,0.901201427,3.56E-01
0.047991998,-0.001882,0.010183,0.048151675,-0.001675958,0.010425607,0.901201427,3.91E-01
0.048018001,-0.001926,0.010158,0.047924721,-0.001679893,0.010429602,0.890339613,4.27E-01
0.048009001,-0.001908,0.010163,0.047803293,-0.001675254,0.010474899,0.890339613,4.64E-01
0.048007999,-0.001914,0.010158,0.047808701,-0.001683203,0.010458013,0.87399137,5.01E-01
0.048009001,-0.00192,0.010147,0.047733593,-0.001639609,0.010487156,0.87399137,5.38E-01
0.047970999,-0.001849,0.0102,0.047795219,-0.001642647,0.010471538,0.849942267,5.74E-01
0.048,-0.001899,0.010166,0.04765025,-0.001588564,0.010525719,0.849942267,6.09E-01
0.047991998,-0.001883,0.010185,0.047583924,-0.001570009,0.010507215,0.822501838,6.43E-01
0.047991,-0.001885,0.010173,0.047616053,-0.001616848,0.010509448,0.822501838,6.75E-01
0.047982998,-0.001882,0.010185,0.047587993,-0.001688006,0.010466361,0.79730916,7.05E-01
0.047993001,-0.001905,0.010178,0.047627342,-0.001701709,0.010496912,0.79730916,7.33E-01
0.048011001,-0.001928,0.010172,0.047691466,-0.001669244,0.010509837,0.775965571,7.58E-01
0.047982,-0.00188,0.010184,0.047558393,-0.001674207,0.010498579,0.775965571,7.82E-01
0.048002001,-0.00192,0.010172,0.047692138,-0.001686339,0.010508345,0.75790453,8.02E-01
0.047984,-0.001903,0.010174,0.047730389,-0.001662939,0.01050313,0.75790453,8.21E-01
0.047993999,-0.001928,0.010158,0.047696207,-0.001718003,0.010482495,0.733061671,8.37E-01
0.048014998,-0.001964,0.010139,0.04768739,-0.001677478,0.010513294,0.733061671,8.52E-01
0.047986001,-0.001909,0.010177,0.047629585,-0.001670793,0.010502196,0.703970969,8.64E-01
0.047984,-0.001902,0.01018,0.047492174,-0.001707176,0.010497598,0.703970969,8.75E-01
0.047974002,-0.001892,0.010192,0.047540783,-0.001691022,0.010567138,0.675198019,8.84E-01
0.048039,-0.002008,0.010102,0.047494307,-0.001677557,0.010530742,0.675198019,8.91E-01
0.048021,-0.001982,0.010116,0.047613985,-0.00174492,0.010505057,0.649128795,8.98E-01
0.048012,-0.001965,0.010134,0.04741585,-0.001701106,0.010519627,0.649128795,9.03E-01
0.048016999,-0.00196,0.01013,0.047348125,-0.001704558,0.010534637,0.625892341,9.08E-01
0.048044,-0.001968,0.010123,0.047413552,-0.001746147,0.010473818,0.625892341,9.11E-01
0.048044,-0.001971,0.01012,0.047502714,-0.001705743,0.010453804,0.579971313,9.14E-01
0.048016999,-0.001928,0.01015,0.047434182,-0.001716564,0.010519163,0.579971313,9.17E-01
0.048036002,-0.001962,0.010129,0.047435218,-0.001740996,0.010494409,0.515239179,9.19E-01
0.048016999,-0.00193,0.010154,0.047385021,-0.001719624,0.010535519,0.515239179,9.20E-01
0.048016001,-0.001928,0.010153,0.047462336,-0.001728764,0.010506691,0.442468673,9.21E-01
0.048012,-0.001925,0.010161,0.047395823,-0.001742565,0.010478447,0.442468673,9.21E-01
0.047984999,-0.001915,0.010177,0.047361008,-0.001746707,0.010487927,0.365618885,9.20E-01
0.047935002,-0.001944,0.010172,0.047396345,-0.001758791,0.01048024,0.365618885,9.18E-01
0.047820002,-0.001938,0.010194,0.047439028,-0.001775334,0.010474495,0.290022969,9.15E-01
0.047711,-0.001964,0.010162,0.047586604,-0.00177528,0.010424877,0.290022969,9.11E-01
0.047532,-0.00189,0.01018,0.047503044,-0.0017759,0.01042125,0.218762442,9.05E-01
0.047341999,-0.001851,0.010168,0.047537664,-0.001825956,0.010402039,0.218762442,8.98E-01
0.047219999,-0.001896,0.010119,0.047469899,-0.001755373,0.010475285,0.150263906,8.89E-01
0.047063001,-0.001896,0.010155,0.047461376,-0.001813321,0.010416573,0.150263906,8.77E-01
0.046967998,-0.001943,0.010154,0.047464105,-0.001769192,0.010420624,0.086651288,8.64E-01
0.046817001,-0.001842,0.010263,0.047345803,-0.001790614,0.010411203,0.086651288,8.49E-01
0.046778999,-0.001864,0.010253,0.047341392,-0.00182336,0.01036448,0.048943676,8.31E-01
0.046760999,-0.001883,0.01024,0.047241319,-0.001866975,0.010345219,0.048943676,8.11E-01
0.046760999,-0.001908,0.010226,0.047120509,-0.001873481,0.010399503,0.035287756,7.89E-01
0.046725001,-0.001892,0.010252,0.047124666,-0.001874251,0.010364968,0.035287756,7.65E-01
0.046709999,-0.001937,0.010244,0.04704101,-0.001893773,0.010402337,0.034398112,7.39E-01
0.046657,-0.00194,0.010251,0.046960047,-0.001850032,0.010437119,0.034398112,7.11E-01
0.046574,-0.001933,0.010284,0.046998706,-0.001822651,0.010418912,0.044819467,6.81E-01
0.046500001,-0.001962,0.010277,0.046760558,-0.001742684,0.010453167,0.044819467,6.51E-01
0.046376999,-0.001903,0.010329,0.046871023,-0.001785218,0.010404787,0.057657331,6.20E-01
0.04628,-0.001871,0.010337,0.046709076,-0.001821787,0.010422791,0.057657331,5.88E-01
0.046163999,-0.001805,0.010357,0.046667974,-0.001792802,0.010397947,0.075057238,5.56E-01
0.046055999,-0.001779,0.010343,0.046533114,-0.001752211,0.010434764,0.075057238,5.25E-01
0.045963001,-0.001781,0.010342,0.04624041,-0.001780215,0.010442808,0.093563631,4.95E-01
0.045857999,-0.001761,0.010386,0.046113188,-0.001789516,0.010409414,0.093563631,4.65E-01
0.045738999,-0.001741,0.010429,0.045950407,-0.001812165,0.010405606,0.113350578,4.36E-01
0.045671999,-0.001765,0.010429,0.045887892,-0.001844316,0.010400622,0.113350578,4.09E-01
0.045536,-0.001692,0.010502,0.045833259,-0.0018522,0.010444354,0.14225702,3.82E-01
0.045437999,-0.001669,0.010502,0.045565851,-0.001837241,0.010453836,0.14225702,3.58E-01
0.045375001,-0.00168,0.010474,0.045536429,-0.001800869,0.010479839,0.17515929,3.35E-01
0.045235001,-0.001585,0.010532,0.045457982,-0.00193536,0.010438621,0.17515929,3.13E-01
0.045134999,-0.001545,0.010536,0.045513567,-0.00187713,0.010448848,0.208849534,2.93E-01
0.044950001,-0.00137,0.010644,0.045467744,-0.00186099,0.010447334,0.208849534,2.75E-01
0.044853002,-0.001333,0.010667,0.045330854,-0.001847356,0.01046902,0.243973047,2.58E-01
0.044727001,-0.001246,0.010747,0.045285992,-0.00184697,0.010496609,0.243973047,2.43E-01
0.044654999,-0.001213,0.010782,0.045296412,-0.001825878,0.010490273,0.279473364,2.29E-01
0.044574,-0.001164,0.01082,0.04506912,-0.001804747,0.010456374,0.279473364,2.16E-01
0.044512,-0.001137,0.010839,0.044916987,-0.001788362,0.010511922,0.313506484,2.05E-01
0.044477001,-0.001119,0.010868,0.044939221,-0.001811629,0.010474642,0.313506484,1.94E-01
0.044397999,-0.001042,0.010931,0.044788462,-0.001795219,0.010439261,0.343208611,1.85E-01
0.044365,-0.001046,0.010934,0.044691972,-0.001774654,0.010469765,0.343208611,1.77E-01
0.044305,-0.001007,0.010965,0.044570643,-0.001713495,0.010531607,0.368946671,1.70E-01
0.044250999,-0.001012,0.010977,0.044511423,-0.001641866,0.010591551,0.368946671,1.64E-01
0.044148002,-0.000942,0.011038,0.044432141,-0.001623631,0.010570583,0.391258568,1.59E-01
0.044073001,-0.000949,0.011061,0.044079389,-0.001573025,0.010689442,0.391258568,1.55E-01
0.04397,-0.000886,0.011125,0.04399825,-0.001577403,0.010671302,0.4104909,1.52E-01
0.043878,-0.000843,0.011165,0.043839851,-0.001480663,0.010732627,0.4104909,1.49E-01
0.043786999,-0.000796,0.011188,0.043647984,-0.001431113,0.01079496,0.426994354,1.47E-01
0.043731,-0.000787,0.011179,0.043773729,-0.001361188,0.010838066,0.426994354,1.45E-01
0.043643001,-0.000712,0.011253,0.043667863,-0.001236709,0.010905851,0.461417168,1.44E-01
0.043591,-0.000709,0.011258,0.04349321,-0.001184569,0.010958608,0.461417168,1.43E-01
0.043488,-0.000673,0.01131,0.043371863,-0.001139155,0.011038329,0.515605748,1.42E-01
0.043435998,-0.000711,0.011301,0.043343192,-0.001058659,0.01107979,0.515605748,1.41E-01
0.043364,-0.000696,0.011341,0.043246751,-0.001043764,0.011115328,0.581892669,1.41E-01
0.043301001,-0.000676,0.01137,0.043145125,-0.001002338,0.011140355,0.581892669,1.40E-01
0.043257002,-0.000648,0.011388,0.043021727,-0.00094542,0.011137377,0.649116337,1.40E-01
0.043196999,-0.000584,0.01145,0.042970889,-0.001010341,0.011152341,0.649116337,1.40E-01
0.043171,-0.000611,0.011436,0.042901906,-0.000961986,0.011244838,0.713131607,1.40E-01
0.043081,-0.00054,0.011505,0.042895941,-0.000895782,0.011274106,0.713131607,1.40E-01
0.043056998,-0.000603,0.011474,0.042876069,-0.000868745,0.011346997,0.76635164,1.41E-01
0.042996,-0.000562,0.011527,0.042778293,-0.000814272,0.011308394,0.76635164,1.43E-01
0.042978,-0.000541,0.011538,0.04278609,-0.000807192,0.011351814,0.806951463,1.46E-01
0.042987999,-0.00056,0.011533,0.042632352,-0.000761425,0.011383217,0.806951463,1.50E-01
0.043009002,-0.000604,0.01151,0.042624227,-0.000681226,0.011425082,0.831706941,1.56E-01
0.042991001,-0.000578,0.011518,0.042527358,-0.000682444,0.011460275,0.831706941,1.63E-01
0.042991001,-0.000571,0.011522,0.042590806,-0.000620523,0.011501958,0.84595257,1.72E-01
0.042991001,-0.000558,0.011534,0.042480297,-0.000599341,0.011566237,0.84595257,1.84E-01
0.043000001,-0.000574,0.011524,0.042346248,-0.000601169,0.011575452,0.850940764,1.97E-01
0.042994,-0.00057,0.011536,0.042210685,-0.000596685,0.011596362,0.850940764,2.13E-01
0.043042,-0.000601,0.011508,0.042222699,-0.000628986,0.011612102,0.848157406,2.32E-01
0.043071002,-0.000556,0.011517,0.042156643,-0.000595434,0.011693945,0.848157406,2.54E-01
0.043093,-0.000554,0.011523,0.042134046,-0.000586266,0.011674963,0.832889616,2.77E-01
0.043141998,-0.000582,0.01151,0.042061422,-0.000536179,0.011714133,0.832889616,3.03E-01
0.043136001,-0.000568,0.011527,0.041910533,-0.000524299,0.011745226,0.807252645,3.31E-01
0.043134,-0.000559,0.011527,0.041946994,-0.000525688,0.011710203,0.807252645,3.61E-01
0.043113999,-0.000523,0.011547,0.04194194,-0.00052399,0.011710571,0.771526217,3.91E-01
0.043150999,-0.000588,0.011503,0.042000939,-0.000559641,0.011702815,0.771526217,4.23E-01
0.043143,-0.000571,0.011504,0.042026964,-0.000512575,0.011706456,0.731925726,4.55E-01
0.043132,-0.000556,0.011512,0.042023934,-0.000532308,0.011729619,0.731925726,4.86E-01
0.043148998,-0.000586,0.011479,0.041808122,-0.000560853,0.011786854,0.691927731,5.18E-01
0.043138999,-0.000568,0.011502,0.041838637,-0.000564203,0.011794523,0.691927731,5.48E-01
0.043120001,-0.000526,0.011542,0.041709638,-0.000527904,0.011800901,0.661476612,5.78E-01
0.043111,-0.000506,0.01155,0.041694881,-0.000544276,0.011819371,0.661476612,6.06E-01
0.043147001,-0.000567,0.011503,0.041751969,-0.000558849,0.011804259,0.639952302,6.33E-01
0.043106999,-0.000493,0.011547,0.041699389,-0.00054193,0.011827404,0.639952302,6.58E-01
0.043133002,-0.000536,0.011505,0.04146399,-0.000539619,0.011810156,0.622854769,6.81E-01
0.043132,-0.000531,0.011506,0.041583917,-0.000542089,0.011828559,0.622854769,7.03E-01
0.043115001,-0.000499,0.011537,0.041636245,-0.000553453,0.011869242,0.60449934,7.23E-01
0.043116,-0.000508,0.011536,0.041656815,-0.000541272,0.01189039,0.60449934,7.41E-01
0.043117002,-0.000512,0.011534,0.04168833,-0.00050315,0.011872784,0.5855515,7.58E-01
0.043133002,-0.000542,0.011499,0.041801056,-0.000535331,0.011880977,0.5855515,7.73E-01
0.043122999,-0.000526,0.011516,0.041791332,-0.000474216,0.011900754,0.567156315,7.87E-01
0.043113999,-0.000501,0.011541,0.041763682,-0.000477302,0.011895393,0.567156315,8.00E-01
0.043102998,-0.000475,0.011557,0.041892032,-0.000526736,0.011815447,0.550500751,8.11E-01
0.043110002,-0.000488,0.011527,0.041988733,-0.000556095,0.011814705,0.550500751,8.22E-01
0.043099001,-0.00055,0.011506,0.04188681,-0.000567336,0.011802823,0.535662293,8.33E-01
0.043019999,-0.000536,0.011541,0.041979795,-0.000557905,0.011823668,0.535662293,8.42E-01
0.042982999,-0.000554,0.011534,0.041960347,-0.000519236,0.011831797,0.493308038,8.52E-01
0.042906001,-0.000518,0.011555,0.041914087,-0.000548246,0.011826203,0.493308038,8.61E-01
0.042863999,-0.000502,0.011569,0.04183436,-0.000530525,0.011830496,0.431327641,8.69E-01
0.042833,-0.00051,0.011566,0.041878753,-0.000521515,0.011850585,0.431327641,8.77E-01
0.042794999,-0.000542,0.011557,0.041876688,-0.000560098,0.011850934,0.35450387,8.85E-01
0.042748,-0.000543,0.011584,0.041799977,-0.000524535,0.011866236,0.35450387,8.92E-01
0.042681001,-0.000526,0.011622,0.041879149,-0.000564501,0.011806648,0.278825939,8.98E-01
0.042631999,-0.000558,0.011611,0.041801825,-0.000540937,0.011828967,0.278825939,9.04E-01
0.042537998,-0.000498,0.011669,0.041750299,-0.000527005,0.011819353,0.211958364,9.08E-01
0.042495001,-0.00053,0.011673,0.041704087,-0.000570437,0.011866714,0.211958364,9.12E-01
0.042459,-0.000562,0.011664,0.041916788,-0.000486941,0.011866156,0.153461516,9.14E-01
0.042415999,-0.000551,0.011695,0.041830738,-0.000403663,0.011907807,0.153461516,9.14E-01
0.042358998,-0.000514,0.011697,0.041706031,-0.00041279,0.011862863,0.116434053,9.13E-01
0.042307999,-0.000504,0.01173,0.041747647,-0.000386692,0.01190096,0.116434053,9.10E-01
0.042233001,-0.000463,0.01178,0.041595853,-0.000343918,0.011928041,0.097517237,9.05E-01
0.042188,-0.00052,0.011759,0.041478917,-0.000344391,0.011949358,0.097517237,8.98E-01
0.042059999,-0.000456,0.011813,0.041518736,-0.000408317,0.01195589,0.092981175,8.89E-01
