gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,phase,motion
0.042059999,-0.000456,0.011813,0.042779027,-0.000553605,0.011832364,0.092981175,2.05E-01
0.041917,-0.000401,0.011837,0.041592305,-0.000844388,0.011622506,0.092981175,1.91E-01
0.041751001,-0.000336,0.011845,0.041348869,-0.000893643,0.012503298,0.097130924,1.77E-01
0.041625999,-0.000303,0.011809,0.040544803,-0.001196938,0.012376081,0.097130924,1.65E-01
0.041437998,-0.000206,0.011826,0.041759938,-0.000872,0.012061218,0.107930429,1.54E-01
0.04129,-0.000188,0.011827,0.041711385,-0.000561457,0.012371057,0.107930429,1.44E-01
0.041124001,-0.000126,0.011868,0.043728415,-0.000862401,0.013041303,0.119304396,1.35E-01
0.041009001,-0.00016,0.011874,0.042685093,-0.000772585,0.012750326,0.119304396,1.28E-01
0.040918,-0.000214,0.011869,0.042255384,-0.000292244,0.012478782,0.131938905,1.21E-01
0.040791001,-0.000188,0.011915,0.041662564,-0.000339493,0.012649835,0.131938905,1.15E-01
0.040707,-0.000168,0.011961,0.042347784,5.75E-05,0.012295319,0.14325133,1.10E-01
0.040612001,-9.60E-05,0.012026,0.043057771,-0.000849284,0.012526098,0.14325133,1.06E-01
0.040566001,-6.60E-05,0.012041,0.042061897,-0.000913041,0.011581322,0.154710203,1.02E-01
0.040477999,1.00E-05,0.012122,0.0411225,-0.000842804,0.011627277,0.154710203,9.99E-02
0.040389001,6.60E-05,0.012185,0.040466097,-0.000798867,0.012645629,0.177179247,9.81E-02
0.040351,3.80E-05,0.012179,0.040432859,-0.001145879,0.012695209,0.177179247,9.70E-02
0.040247001,7.50E-05,0.012228,0.040287456,-0.001400939,0.012152286,0.205063969,9.63E-02
0.040105,0.000171,0.012328,0.040599369,-0.001347779,0.012192167,0.205063969,9.60E-02
0.039978001,0.000256,0.012395,0.040753869,-0.001631738,0.011413145,0.234680593,9.60E-02
0.039878,0.000298,0.012443,0.04153612,-0.001457971,0.012176801,0.234680593,9.62E-02
0.039783001,0.00034,0.0125,0.041631541,-0.001556187,0.0116359,0.263908088,9.65E-02
0.039686002,0.000363,0.012555,0.039592303,-0.001370111,0.012368874,0.263908088,9.68E-02
0.039542001,0.000476,0.012659,0.039492927,-0.001247801,0.012137263,0.291234791,9.71E-02
0.039436001,0.000502,0.012715,0.040062189,-0.001181262,0.012415168,0.291234791,9.74E-02
0.039303001,0.000544,0.012805,0.040713577,-0.001110787,0.011901755,0.316504955,9.76E-02
0.039214,0.00055,0.012855,0.038692693,-0.001124655,0.012523923,0.316504955,9.76E-02
0.039142001,0.000531,0.012895,0.038829403,-0.00142588,0.011872334,0.338998318,9.74E-02
0.03906,0.000573,0.012938,0.039366773,-0.001115001,0.012301611,0.338998318,9.71E-02
0.038989998,0.000596,0.01298,0.038396288,-0.000909715,0.012208172,0.358475089,9.66E-02
0.038934,0.00062,0.01304,0.040048853,-0.001024897,0.012959595,0.358475089,9.60E-02
0.038897,0.000625,0.013047,0.040572759,-0.001007814,0.012698886,0.375089198,9.51E-02
0.038880002,0.000598,0.013044,0.040550368,-0.001116382,0.012953095,0.375089198,9.42E-02
0.038821001,0.000652,0.013113,0.040135194,-0.001206609,0.013020749,0.388638735,9.33E-02
0.038743999,0.0007,0.013158,0.040278269,-0.000838018,0.013126141,0.388638735,9.24E-02
0.038708001,0.00068,0.013171,0.038983823,-0.001306999,0.012322281,0.394969672,9.16E-02
0.038612999,0.000732,0.013231,0.039024496,-0.001156623,0.013353944,0.394969672,9.10E-02
0.038541,0.000761,0.013253,0.038696407,-0.0007079,0.013359554,0.394083798,9.08E-02
0.038449999,0.000846,0.013336,0.038686613,-0.000173858,0.013627094,0.394083798,9.09E-02
