gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,state_0,state_11,state_1
0.042459,-0.000562,0.011664,0.041916788,-0.000486941,0.011866156,0.153461516,,0.153461516
0.042415999,-0.000551,0.011695,0.041830738,-0.000403663,0.011907807,0.153461516,,0.153461516
0.042358998,-0.000514,0.011697,0.041706031,-0.00041279,0.011862863,0.116434053,,0.116434053
0.042307999,-0.000504,0.01173,0.041747647,-0.000386692,0.01190096,0.116434053,,0.116434053
0.042233001,-0.000463,0.01178,0.041595853,-0.000343918,0.011928041,0.097517237,,0.097517237
0.042188,-0.00052,0.011759,0.041478917,-0.000344391,0.011949358,0.097517237,,0.097517237
0.042059999,-0.000456,0.011813,0.041518736,-0.000408317,0.01195589,0.092981175,,0.092981175
0.041917,-0.000401,0.011837,0.041438535,-0.000370857,0.011958172,0.092981175,,0.092981175
0.041751001,-0.000336,0.011845,0.041305958,-0.000363563,0.011962191,0.097130924,,0.097130924
0.041625999,-0.000303,0.011809,0.04129819,-0.000399912,0.01196662,0.097130924,,0.097130924
0.041437998,-0.000206,0.011826,0.041243679,-0.000406476,0.011955878,0.107930429,,0.107930429
0.04129,-0.000188,0.011827,0.041238996,-0.000380838,0.01197234,0.107930429,,0.107930429
0.041124001,-0.000126,0.011868,0.041021732,-0.000403583,0.011950159,0.119304396,,0.119304396
0.041009001,-0.00016,0.011874,0.041059573,-0.000407408,0.011978593,0.119304396,,0.119304396
0.040918,-0.000214,0.011869,0.041157627,-0.000410628,0.011960656,0.131938905,,0.131938905
0.040791001,-0.000188,0.011915,0.041107776,-0.000417208,0.011988972,0.131938905,,0.131938905
0.040707,-0.000168,0.011961,0.04102964,-0.000375377,0.012000919,0.14325133,,0.14325133
0.040612001,-9.60E-05,0.012026,0.040896199,-0.000296205,0.012088303,0.14325133,,0.14325133
0.040566001,-6.60E-05,0.012041,0.04090546,-0.000293856,0.012026626,0.154710203,,0.154710203
0.040477999,1.00E-05,0.012122,0.040804306,-0.00034794,0.012009379,0.154710203,,0.154710203
0.040389001,6.60E-05,0.012185,0.040769057,-0.000311227,0.012091592,0.177179247,,0.177179247
0.040351,3.80E-05,0.012179,0.040715596,-0.000290052,0.012068832,0.177179247,,0.177179247
0.040247001,7.50E-05,0.012228,0.040785348,-0.000320322,0.012083684,0.205063969,,0.205063969
0.040105,0.000171,0.012328,0.04087239,-0.000305614,0.012044958,0.205063969,,0.205063969
0.039978001,0.000256,0.012395,0.040691911,-0.000292646,0.01205614,0.234680593,,0.234680593
0.039878,0.000298,0.012443,0.040625349,-0.000243551,0.012077228,0.234680593,,0.234680593
0.039783001,0.00034,0.0125,0.040548647,-0.0002099,0.012082734,0.263908088,,0.263908088
0.039686002,0.000363,0.012555,0.040448896,-0.000146268,0.012062258,0.263908088,,0.263908088
0.039542001,0.000476,0.012659,0.040282216,-0.000118691,0.01204745,0.291234791,,0.291234791
0.039436001,0.000502,0.012715,0.040057618,-6.97E-05,0.012128047,0.291234791,,0.291234791
